gae_lambda,distance_rew_weight,final_mean_return
0.9333333333333333,5.959595959595959,"[220.6484375, 207.875, 271.6875, 216.265625, 223.546875, 212.734375, 208.421875, 238.8125, 253.5703125, 217.6171875]"
0.9393939393939394,1.1111111111111112,"[535.5390625, 310.71875, 313.5078125, 306.4296875, 329.7109375, 328.6171875, 306.4765625, 264.625, 264.734375, 470.9453125]"
0.9050505050505051,8.686868686868687,"[229.953125, 225.4765625, 268.5, 230.9453125, 243.53125, 257.8046875, 213.375, 239.0390625, 259.2734375, 218.484375]"
0.9717171717171718,6.666666666666667,"[242.5, 227.625, 231.9140625, 224.6171875, 233.6953125, 240.65625, 226.1484375, 232.2734375, 217.453125, 222.8046875]"
0.8848484848484849,2.323232323232323,"[321.03125, 312.609375, 444.90625, 266.0, 304.3359375, 308.890625, 343.0, 303.453125, 311.0625, 273.375]"
0.8181818181818182,5.353535353535354,"[235.90625, 233.3515625, 301.40625, 515.9609375, 242.6796875, 258.9296875, 287.921875, 260.5234375, 216.4609375, 209.046875]"
1.0,5.151515151515151,"[253.3125, 384.1484375, 396.125, 531.796875, 520.2109375, 231.0703125, 283.9296875, 384.9375, 219.2265625, 199.0625]"
0.8646464646464647,0.8080808080808081,"[461.890625, 661.9921875, 421.359375, 357.4453125, 414.734375, 347.7578125, 383.1796875, 458.3984375, 439.6328125, 582.8671875]"
0.9434343434343435,8.181818181818182,"[236.5078125, 235.6328125, 222.0546875, 266.1484375, 285.765625, 240.3671875, 212.21875, 281.390625, 219.0859375, 206.3203125]"
0.896969696969697,1.5151515151515151,"[368.75, 320.28125, 355.203125, 389.140625, 375.484375, 292.15625, 331.40625, 415.5390625, 313.2890625, 363.390625]"
0.9838383838383838,1.2121212121212122,"[277.4453125, 220.8203125, 205.421875, 250.734375, 281.015625, 301.890625, 255.109375, 252.6015625, 260.984375, 254.1953125]"
0.8424242424242424,2.727272727272727,"[293.953125, 315.875, 378.6328125, 248.625, 260.328125, 261.9140625, 297.4921875, 301.3125, 277.7265625, 270.015625]"
0.9555555555555556,7.373737373737374,"[227.734375, 243.75, 343.796875, 214.125, 213.0078125, 216.484375, 221.28125, 228.5, 236.640625, 224.6171875]"
0.9939393939393939,2.4242424242424243,"[234.953125, 237.109375, 258.6015625, 246.0859375, 227.5859375, 237.3515625, 221.9375, 250.8828125, 231.75, 200.4375]"
0.8686868686868687,0.7070707070707071,"[497.6328125, 618.0390625, 389.4140625, 346.9375, 460.8125, 371.4453125, 333.671875, 393.4375, 395.859375, 722.9296875]"
1.0,8.88888888888889,"[339.0, 546.578125, 390.3203125, 268.9765625, 314.3125, 615.8828125, 891.0625, 290.96875, 584.40625, 337.5703125]"
0.8222222222222223,8.686868686868687,"[225.296875, 251.1875, 345.6953125, 221.9296875, 219.703125, 296.2734375, 239.21875, 241.5390625, 595.1875, 231.328125]"
0.9232323232323233,5.757575757575758,"[217.0703125, 235.46875, 238.5, 233.734375, 227.375, 258.078125, 212.515625, 234.9296875, 206.1640625, 219.21875]"
0.8020202020202021,8.98989898989899,"[251.578125, 618.6015625, 397.171875, 245.2890625, 239.5078125, 263.4140625, 410.921875, 221.421875, 226.171875, 250.1328125]"
0.8606060606060606,3.7373737373737375,"[255.046875, 257.4765625, 277.28125, 222.609375, 247.765625, 243.9140625, 315.2421875, 275.6328125, 246.8515625, 193.203125]"
0.9676767676767677,6.565656565656566,"[227.3203125, 267.796875, 211.3671875, 221.828125, 222.71875, 242.6171875, 214.15625, 290.1484375, 205.4609375, 214.21875]"
0.901010101010101,1.4141414141414141,"[377.828125, 317.90625, 383.6953125, 305.8203125, 338.6484375, 375.4453125, 345.9375, 309.140625, 302.0234375, 306.03125]"
0.9474747474747475,6.8686868686868685,"[223.8046875, 208.5546875, 233.2265625, 221.8984375, 228.703125, 283.96875, 231.5, 257.1953125, 642.8359375, 214.953125]"
0.8161616161616162,0.40404040404040403,"[621.3984375, 793.8671875, 548.7734375, 1000.0, 420.234375, 471.2421875, 733.296875, 988.5234375, 384.765625, 999.859375]"
0.8686868686868687,6.96969696969697,"[272.5390625, 288.3984375, 221.78125, 237.3671875, 248.0546875, 256.1484375, 236.1484375, 227.234375, 235.75, 241.4921875]"
0.9919191919191919,9.292929292929292,"[312.2109375, 377.6875, 283.5234375, 323.5546875, 740.0546875, 511.96875, 684.203125, 350.0546875, 843.8828125, 485.8125]"
0.9737373737373738,7.171717171717171,"[248.734375, 249.7109375, 215.546875, 214.203125, 274.78125, 304.7734375, 206.109375, 229.3125, 232.8203125, 249.2734375]"
0.9535353535353536,2.0202020202020203,"[247.609375, 260.8359375, 255.8671875, 251.71875, 286.7421875, 331.7734375, 255.6171875, 266.4921875, 236.625, 248.578125]"
0.9353535353535354,4.94949494949495,"[224.140625, 196.25, 236.8984375, 200.9765625, 246.734375, 230.9296875, 942.46875, 219.046875, 205.078125, 232.9375]"
0.8404040404040405,8.484848484848484,"[282.8828125, 222.8125, 234.84375, 217.6640625, 220.7890625, 229.9609375, 225.3671875, 233.4140625, 311.09375, 222.9921875]"
0.8202020202020203,3.3333333333333335,"[257.4609375, 273.6484375, 396.765625, 226.8984375, 255.8125, 345.2109375, 298.2109375, 285.46875, 276.0703125, 238.203125]"
0.898989898989899,3.2323232323232323,"[264.1640625, 279.703125, 331.375, 244.0390625, 246.953125, 232.3671875, 279.125, 210.9609375, 253.5546875, 189.765625]"
0.9070707070707071,6.4646464646464645,"[212.8828125, 243.2109375, 216.6875, 233.6171875, 247.5, 241.890625, 210.296875, 215.2578125, 221.71875, 215.5]"
0.9858585858585859,6.363636363636363,"[237.3359375, 252.0859375, 232.4140625, 212.03125, 256.7578125, 244.828125, 400.90625, 232.34375, 222.5703125, 230.375]"
0.8585858585858586,1.8181818181818181,"[368.1484375, 298.78125, 384.6171875, 319.234375, 318.6484375, 420.875, 401.5546875, 423.359375, 372.1484375, 347.0546875]"
0.8828282828282829,4.141414141414141,"[247.984375, 220.5, 297.515625, 217.5, 257.0546875, 234.515625, 259.1328125, 249.421875, 223.109375, 218.984375]"
