gae_lambda,angle_rew_weight,final_mean_return
0.9393939393939394,1.1111111111111112,"[428.2734375, 343.2265625, 337.078125, 300.7734375, 458.125, 401.8359375, 249.3203125, 272.0234375, 327.3359375, 455.8515625]"
0.9050505050505051,8.686868686868687,"[891.0703125, 924.390625, 805.53125, 986.7734375, 959.7578125, 871.59375, 806.5859375, 885.6015625, 950.1484375, 926.421875]"
0.9717171717171718,6.666666666666667,"[330.890625, 579.859375, 573.1953125, 1000.0, 975.9375, 968.1015625, 955.90625, 1000.0, 451.2734375, 960.6015625]"
0.8848484848484849,2.323232323232323,"[415.46875, 387.875, 333.375, 764.1171875, 918.7421875, 704.3828125, 458.4609375, 297.9140625, 402.84375, 823.5]"
0.8181818181818182,5.353535353535354,"[973.0390625, 595.734375, 920.453125, 846.8828125, 816.5703125, 909.0703125, 672.15625, 922.7109375, 945.46875, 904.359375]"
1.0,5.151515151515151,"[377.15625, 256.9921875, 361.46875, 283.890625, 468.9921875, 786.203125, 930.7421875, 616.640625, 275.1171875, 305.546875]"
0.8646464646464647,0.8080808080808081,"[549.875, 531.7578125, 446.1171875, 359.65625, 337.5625, 392.5546875, 425.53125, 598.2265625, 434.578125, 399.578125]"
0.9434343434343435,8.181818181818182,"[955.953125, 962.7265625, 731.7578125, 956.1875, 1000.0, 939.9453125, 930.1171875, 848.7734375, 978.7890625, 943.1875]"
0.896969696969697,1.5151515151515151,"[387.28125, 341.2265625, 356.4296875, 411.0625, 579.78125, 475.9921875, 377.234375, 331.859375, 460.140625, 715.171875]"
0.9838383838383838,1.2121212121212122,"[266.359375, 241.2890625, 248.8359375, 244.4375, 231.9921875, 333.6640625, 231.75, 246.765625, 278.734375, 269.9921875]"
0.8424242424242424,2.727272727272727,"[955.15625, 638.25, 531.1171875, 858.8359375, 978.6953125, 791.3046875, 481.859375, 682.7421875, 751.4375, 976.421875]"
0.9555555555555556,7.373737373737374,"[993.9453125, 859.1875, 491.5234375, 965.640625, 919.953125, 865.578125, 727.3046875, 976.6796875, 580.5234375, 941.09375]"
0.9939393939393939,2.4242424242424243,"[259.15625, 248.75, 228.515625, 271.3984375, 251.03125, 393.1015625, 239.6015625, 277.3671875, 238.9375, 221.1484375]"
1.0,8.88888888888889,"[791.140625, 545.015625, 898.1796875, 983.5390625, 806.734375, 1000.0, 960.421875, 1000.0, 465.8046875, 627.9453125]"
0.8686868686868687,0.7070707070707071,"[511.7265625, 417.59375, 421.296875, 307.625, 308.5078125, 385.3828125, 348.5234375, 349.4296875, 403.8046875, 356.3359375]"
0.8222222222222223,8.686868686868687,"[971.515625, 916.78125, 989.8046875, 888.6015625, 865.65625, 932.5625, 690.9296875, 882.15625, 997.515625, 1000.0]"
0.9232323232323233,5.757575757575758,"[724.75, 814.6640625, 345.2734375, 806.6875, 844.9609375, 809.1796875, 795.5859375, 847.9609375, 557.15625, 988.859375]"
0.8020202020202021,8.98989898989899,"[994.9296875, 970.046875, 986.2734375, 961.7109375, 722.796875, 935.2265625, 985.75, 993.453125, 986.609375, 924.6953125]"
0.8606060606060606,3.7373737373737375,"[607.8828125, 537.8984375, 574.6015625, 876.0, 744.5390625, 813.4921875, 408.8125, 558.8359375, 508.5546875, 946.9375]"
0.9676767676767677,6.565656565656566,"[509.8828125, 587.125, 381.4921875, 913.6171875, 936.5703125, 859.2109375, 554.4453125, 908.9140625, 394.4296875, 892.8984375]"
0.901010101010101,1.4141414141414141,"[362.4453125, 482.9375, 387.140625, 391.2265625, 816.25, 384.578125, 303.390625, 284.296875, 384.53125, 420.390625]"
0.8686868686868687,6.96969696969697,"[957.578125, 920.171875, 907.796875, 835.3515625, 867.875, 949.75, 720.2265625, 872.71875, 849.453125, 985.734375]"
0.9474747474747475,6.8686868686868685,"[601.28125, 956.484375, 805.8125, 808.6953125, 891.3828125, 878.3203125, 618.4375, 918.2890625, 948.4921875, 390.421875]"
0.8161616161616162,0.40404040404040403,"[451.2109375, 456.359375, 446.671875, 329.4921875, 344.5234375, 314.515625, 387.4609375, 636.15625, 389.8984375, 302.0234375]"
0.9919191919191919,9.292929292929292,"[577.984375, 1000.0, 592.1015625, 889.9609375, 1000.0, 966.921875, 988.7578125, 1000.0, 512.171875, 863.1484375]"
0.9737373737373738,7.171717171717171,"[993.671875, 968.40625, 928.6796875, 909.4453125, 993.984375, 879.203125, 815.59375, 993.453125, 396.7890625, 829.5234375]"
0.9535353535353536,2.0202020202020203,"[351.1015625, 261.609375, 352.890625, 383.9609375, 489.2421875, 727.3125, 265.421875, 344.25, 275.421875, 392.578125]"
0.9353535353535354,4.94949494949495,"[600.4609375, 355.5859375, 493.2421875, 829.6328125, 818.4765625, 852.625, 744.625, 947.0390625, 359.34375, 941.625]"
0.8404040404040405,8.484848484848484,"[997.859375, 939.7109375, 897.6640625, 839.046875, 799.78125, 889.1484375, 846.109375, 947.7265625, 835.25, 1000.0]"
0.8202020202020203,3.3333333333333335,"[983.390625, 817.0625, 774.5625, 931.09375, 842.625, 968.15625, 593.484375, 876.71875, 817.4609375, 1000.0]"
0.898989898989899,3.2323232323232323,"[606.4765625, 326.484375, 591.515625, 884.0859375, 913.265625, 649.1328125, 315.859375, 378.65625, 306.0859375, 759.1796875]"
0.9858585858585859,6.363636363636363,"[320.8046875, 753.359375, 574.796875, 994.3359375, 910.3359375, 751.875, 926.90625, 846.2734375, 573.6640625, 692.015625]"
0.9070707070707071,6.4646464646464645,"[765.6875, 849.859375, 891.34375, 801.640625, 830.46875, 861.0625, 774.9375, 848.8359375, 472.8671875, 864.0625]"
0.8585858585858586,1.8181818181818181,"[792.28125, 368.2265625, 414.078125, 548.421875, 705.0078125, 529.265625, 383.0390625, 605.703125, 518.5390625, 910.6796875]"
0.8828282828282829,4.141414141414141,"[843.203125, 504.140625, 462.015625, 513.015625, 800.734375, 846.234375, 517.546875, 743.3671875, 503.8046875, 724.8671875]"
0.8040404040404041,4.242424242424242,"[975.734375, 843.09375, 841.8125, 893.078125, 933.6640625, 910.9296875, 464.046875, 933.0703125, 952.2890625, 985.4453125]"
0.8525252525252526,7.6767676767676765,"[939.9921875, 967.3515625, 889.359375, 894.4140625, 760.1015625, 899.75, 704.9453125, 755.1875, 977.15625, 975.8203125]"
0.9111111111111111,2.4242424242424243,"[353.5859375, 313.9765625, 307.4140625, 686.8125, 591.5078125, 668.671875, 319.6328125, 577.5703125, 333.5, 586.4921875]"
0.9535353535353536,4.747474747474747,"[503.3984375, 688.2734375, 338.40625, 555.1640625, 788.0234375, 778.890625, 290.0546875, 553.859375, 491.5234375, 803.9453125]"
0.8121212121212121,2.8282828282828283,"[752.53125, 678.8125, 739.0625, 907.1640625, 857.3828125, 815.9765625, 571.6484375, 687.359375, 747.6015625, 967.5234375]"
0.997979797979798,7.171717171717171,"[400.9765625, 360.484375, 890.7109375, 1000.0, 830.4296875, 861.5859375, 983.84375, 927.0390625, 428.203125, 949.34375]"
0.8707070707070708,2.2222222222222223,"[573.078125, 375.5625, 405.0078125, 621.6640625, 560.3125, 692.3515625, 382.7265625, 613.6328125, 391.96875, 939.6484375]"
0.9494949494949495,2.121212121212121,"[347.8828125, 255.8359375, 304.0546875, 613.4765625, 404.1640625, 870.8515625, 249.4921875, 429.7578125, 260.2578125, 369.296875]"
0.9191919191919192,5.656565656565657,"[937.5546875, 1000.0, 643.4453125, 749.9453125, 810.6640625, 888.2734375, 325.0703125, 858.5390625, 547.046875, 542.7265625]"
0.898989898989899,5.959595959595959,"[891.5078125, 941.0703125, 829.765625, 771.421875, 949.6796875, 859.3046875, 769.28125, 778.3828125, 947.2421875, 973.0859375]"
0.8161616161616162,3.4343434343434343,"[979.6796875, 825.40625, 855.125, 983.03125, 915.4765625, 869.0625, 527.0, 667.796875, 931.03125, 979.0625]"
0.9656565656565657,3.9393939393939394,"[354.953125, 304.1796875, 297.0390625, 438.3359375, 711.359375, 811.21875, 359.3046875, 804.46875, 338.25, 647.5546875]"
0.9373737373737374,6.666666666666667,"[874.921875, 760.0, 727.3984375, 470.984375, 760.6484375, 892.9921875, 503.296875, 956.421875, 625.765625, 999.140625]"
0.8505050505050505,2.323232323232323,"[706.4921875, 931.8125, 406.578125, 614.3359375, 817.1015625, 683.3359375, 426.6015625, 568.859375, 740.4765625, 973.3984375]"
0.8828282828282829,7.878787878787879,"[919.296875, 967.0390625, 892.0546875, 931.984375, 932.0546875, 914.421875, 746.96875, 747.828125, 923.0625, 998.1171875]"
0.9555555555555556,0.0,"[229.8203125, 234.234375, 244.9765625, 259.5, 211.71875, 232.59375, 197.6875, 261.671875, 254.3203125, 229.9375]"
0.8565656565656566,0.20202020202020202,"[355.1015625, 428.1796875, 350.4296875, 309.1875, 288.828125, 304.0390625, 995.390625, 400.0234375, 294.4140625, 301.8125]"
